transaction_id,items
1,"cereal,leche,mantequilla,pan"
2,"cloro,detergente,suavizante"
3,"cloro,suavizante"
4,"cafe,cerveza,leche,mantequilla,pan,refresco"
5,"detergente,granola,suavizante,yogurt"
6,"botanas,cerveza,cloro,detergente,refresco"
7,"botanas,cerveza,frutas,granola,papas,refresco,yogurt"
8,"botanas,cerveza,cloro,detergente,papas,suavizante"
9,"botanas,cerveza,jamon,papas,tortillas"
10,"cloro,detergente,jamon,queso,salsa,suavizante,tortillas"
11,"cereal,cloro,detergente,leche,mantequilla,pan,suavizante"
12,"cafe,frutas,granola,leche,pan,yogurt"
13,"botanas,cerveza,detergente,pan,papas,refresco,suavizante"
14,"botanas,cafe,cereal,cerveza,mantequilla,pan,salsa"
15,"frutas,granola,yogurt"
16,"detergente,jamon,queso,suavizante"
17,"cloro,detergente"
18,"cerveza,granola,papas"
19,"botanas,cerveza,jamon,queso,refresco,salsa,tortillas"
20,"cloro,queso,salsa,suavizante,tortillas"
21,"papas,refresco"
22,"botanas,cerveza,frutas,granola,papas"
23,"botanas,cerveza,papas"
24,"cerveza,papas,refresco"
25,"frutas,granola,queso,tortillas,yogurt"
26,"frutas,yogurt"
27,"cereal,leche,mantequilla,pan"
28,"jamon,tortillas"
29,"jamon,queso,salsa,tortillas"
30,"botanas,cerveza,frutas,granola,refresco,yogurt"
31,"botanas,frutas,granola,papas,yogurt"
32,"cloro,detergente,suavizante"
33,"cloro,suavizante"
34,"botanas,cerveza,frutas,granola,papas,refresco,yogurt"
35,"granola,yogurt"
36,"cafe,cereal,cloro,detergente,mantequilla,pan"
37,"frutas,granola,yogurt"
38,"frutas,granola,yogurt"
39,"jamon,tortillas"
40,"cerveza,frutas,papas,refresco,yogurt"
41,"cerveza,frutas,granola,papas,refresco"
42,"frutas,granola,queso,tortillas,yogurt"
43,"frutas,jamon,queso,tortillas,yogurt"
44,"frutas,granola,yogurt"
45,"frutas,granola,yogurt"
46,"botanas,cerveza,cloro,papas,refresco,suavizante"
47,"frutas,granola,yogurt"
48,"botanas,cerveza,jamon,papas,queso,refresco,salsa,tortillas"
49,"botanas,cerveza"
50,"jamon,salsa,tortillas"
51,"botanas,cerveza,papas,refresco,suavizante"
52,"botanas,cafe,leche,papas,refresco"
53,"cerveza,jamon,papas,queso,refresco,salsa,tortillas"
54,"botanas,cerveza,frutas,granola,refresco"
55,"botanas,papas"
56,"cafe,cereal,jamon,leche,pan,salsa"
57,"cloro,detergente,jamon,queso,salsa,suavizante,tortillas"
58,"cerveza,jamon,papas,queso,salsa,tortillas"
59,"cafe,mantequilla,pan"
60,"frutas,granola,jamon,queso,tortillas"
61,"botanas,cereal,cerveza,leche,papas,refresco"
62,"botanas,cereal,cerveza,mantequilla,pan,papas,refresco"
63,"cloro,detergente,jamon,queso,salsa,suavizante,tortillas"
64,"frutas,granola,yogurt"
65,"cafe,jamon,leche,pan,queso,salsa,suavizante,tortillas"
66,"cloro,detergente,jamon,queso,suavizante"
67,"jamon,queso,salsa,tortillas"
68,"jamon,tortillas"
69,"cafe,cereal,cloro,detergente,mantequilla,pan"
70,"cafe,leche,mantequilla,queso,tortillas"
71,"cloro,detergente,frutas,granola,suavizante,yogurt"
72,"frutas,granola,salsa"
73,"detergente,frutas,suavizante,yogurt"
74,"frutas,yogurt"
75,"queso,tortillas"
76,"frutas,granola,jamon,queso,yogurt"
77,"cerveza,refresco"
78,"cloro,detergente,suavizante"
79,"frutas,granola,jamon,salsa,yogurt"
80,"botanas,cerveza,refresco"
81,"cafe,cereal,granola,mantequilla,pan,yogurt"
82,"jamon,tortillas"
83,"leche,mantequilla"
84,"cafe,cereal,jamon,leche,salsa,tortillas"
85,"cloro,frutas,granola,suavizante"
86,"jamon,queso,salsa,tortillas"
87,"cafe,jamon,leche,mantequilla,queso,salsa,tortillas"
88,"cafe,jamon,mantequilla,pan,queso,tortillas"
89,"cloro,detergente,suavizante"
90,"cafe,mantequilla,salsa,tortillas"
91,"cereal,cerveza,cloro,detergente,leche,mantequilla,pan,suavizante"
92,"botanas,cereal,cerveza,leche,mantequilla,papas"
93,"cloro,detergente,papas,refresco,suavizante"
94,"cloro,jamon,salsa,suavizante,tortillas"
95,"botanas,cerveza,cloro,detergente,papas,refresco,suavizante"
96,"jamon,tortillas"
97,"cafe,cereal,jamon,salsa"
98,"cafe,cereal,mantequilla"
99,"frutas,granola,yogurt"
100,"frutas,granola"
101,"cafe,leche,mantequilla,pan"
102,"cloro,detergente,frutas,granola,papas,yogurt"
103,"jamon,queso,salsa,tortillas"
104,"jamon,queso,salsa"
105,"frutas,granola,jamon,queso,tortillas,yogurt"
106,"cafe,frutas,granola,leche,mantequilla,pan,yogurt"
107,"cloro,detergente,suavizante"
108,"frutas,granola,leche,yogurt"
109,"cerveza,jamon,papas,refresco,tortillas"
110,"detergente,frutas,suavizante,yogurt"
111,"jamon,mantequilla,pan,salsa,tortillas"
112,"cafe,cerveza,mantequilla,pan,refresco"
113,"cafe,cereal,pan,queso,salsa"
114,"jamon,salsa,tortillas"
115,"jamon,pan,queso,salsa,tortillas"
116,"jamon,queso,salsa"
117,"cloro,frutas,suavizante,yogurt"
118,"cereal,leche,mantequilla"
119,"detergente,suavizante"
120,"frutas,yogurt"
121,"mantequilla,pan"
122,"cloro,detergente,queso,suavizante"
123,"cafe,cereal,mantequilla"
124,"botanas,cerveza,cloro,papas,suavizante"
125,"cafe,cereal,jamon,leche,pan,queso,salsa,tortillas"
126,"granola,queso,salsa,tortillas,yogurt"
127,"frutas,granola,jamon,salsa,tortillas,yogurt"
128,"cerveza,queso,salsa"
129,"botanas,cafe,cerveza,leche,pan,papas,refresco"
130,"botanas,cafe,leche,refresco"
131,"botanas,cloro,detergente,papas,suavizante"
132,"cloro,detergente,frutas,granola,suavizante"
133,"jamon,queso,salsa"
134,"cereal,cloro,detergente,leche,mantequilla,pan"
135,"cloro,detergente,jamon,queso,salsa,suavizante"
136,"detergente,frutas,granola,suavizante"
137,"cerveza,papas,queso,refresco"
138,"botanas,cafe,papas,refresco"
139,"botanas,cafe,jamon,mantequilla,queso,salsa,tortillas"
140,"botanas,cerveza,papas,refresco,salsa,tortillas"
141,"jamon,queso,tortillas"
142,"cloro,detergente"
143,"cerveza,frutas,granola,papas,refresco"
144,"botanas,cerveza,papas,refresco"
145,"botanas,jamon,papas,queso,salsa,tortillas"
146,"cloro,detergente,jamon,queso,suavizante"
147,"jamon,queso,salsa,tortillas"
148,"cereal,frutas,granola,leche,mantequilla,pan,yogurt"
149,"detergente,jamon,queso,suavizante,tortillas"
150,"cloro,frutas,suavizante,yogurt"
151,"botanas,cereal,pan,papas,refresco"
152,"cloro,frutas,suavizante,yogurt"
153,"cerveza,cloro,detergente,papas,suavizante"
154,"cloro,detergente,suavizante"
155,"jamon,salsa"
156,"jamon,queso,salsa,tortillas"
157,"botanas,cerveza,jamon,refresco,salsa,tortillas"
158,"granola,yogurt"
159,"detergente,suavizante"
160,"botanas,cerveza,jamon,papas,queso,salsa"
161,"cerveza,queso,refresco,tortillas"
162,"cloro,papas,refresco,suavizante"
163,"leche,mantequilla"
164,"frutas,mantequilla,pan,yogurt"
165,"cereal,cloro,detergente,mantequilla,pan"
166,"cloro,detergente,suavizante"
167,"cloro,detergente,suavizante"
168,"queso,salsa,tortillas"
169,"frutas,granola"
170,"botanas,cafe,cereal,cerveza,mantequilla,pan,refresco"
171,"frutas,queso,tortillas"
172,"frutas,granola,yogurt"
173,"frutas,granola,pan,yogurt"
174,"cloro,detergente,jamon,queso,suavizante,tortillas"
175,"jamon,mantequilla,queso,salsa,tortillas"
176,"frutas,granola,jamon,queso,tortillas,yogurt"
177,"cereal,granola,leche,pan,refresco,yogurt"
178,"papas,refresco"
179,"cafe,cloro,mantequilla,pan,suavizante"
180,"granola,jamon,queso,salsa,tortillas,yogurt"
181,"frutas,granola,yogurt"
182,"botanas,jamon,papas,queso,refresco"
183,"cereal,frutas,granola,leche,pan,yogurt"
184,"cerveza,papas,refresco"
185,"detergente,suavizante"
186,"cloro,detergente,jamon,queso,suavizante,tortillas"
187,"botanas,cloro,detergente,refresco"
188,"granola,yogurt"
189,"botanas,frutas,granola,refresco"
190,"botanas,cerveza,papas,refresco,yogurt"
191,"botanas,cerveza,jamon,papas,refresco,salsa,tortillas"
192,"cafe,cereal"
193,"granola,yogurt"
194,"cerveza,jamon,papas,queso,refresco,salsa"
195,"cafe,cereal,pan"
196,"frutas,granola,yogurt"
197,"frutas,granola,jamon,leche,queso,salsa,yogurt"
198,"cloro,detergente,jamon,salsa,suavizante,tortillas"
199,"cereal,jamon,leche,queso,tortillas"
200,"cereal,detergente,mantequilla,pan,suavizante"
201,"cafe,cereal,cloro,detergente,leche,mantequilla,suavizante"
202,"frutas,granola,yogurt"
203,"cloro,detergente,granola,suavizante,yogurt"
204,"cloro,detergente,suavizante"
205,"cloro,detergente,suavizante"
206,"botanas,papas"
207,"botanas,cerveza,jamon,papas,queso,refresco,salsa,tortillas"
208,"botanas,cerveza,jamon,papas,queso,refresco,salsa,tortillas"
209,"frutas,granola,yogurt"
210,"cloro,detergente,frutas,granola,suavizante,yogurt"
211,"frutas,granola,yogurt"
212,"cloro,detergente,frutas,granola"
213,"cafe,mantequilla,pan"
214,"cafe,cereal,leche,mantequilla"
215,"frutas,granola,yogurt"
216,"detergente,suavizante"
217,"cafe,leche,mantequilla"
218,"cereal,cloro,detergente,leche,pan,suavizante"
219,"botanas,cerveza,frutas,mantequilla,papas,refresco,yogurt"
220,"cerveza,cloro,papas,refresco,suavizante"
221,"botanas,cerveza,refresco"
222,"jamon,queso,tortillas"
223,"botanas,cafe,cereal,cerveza,leche,mantequilla,papas,refresco"
224,"botanas,detergente,refresco,suavizante"
